Attribute,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
max,36.4,37.6,38.4,35.8,44.7,44,41.3,40.9,44.4,46.4,45.8,40.3,41.6,47.4,48.7,45.5
mean,32.3389,33.9308,35.0895,32.0952,37.5682,39.6071,38.2429,34.3727,40.32,43.0091,40.6643,35.4304,36.5385,41.1077,42.1769,36.7235
std. dev.,2.0097,2.5171,1.9365,1.9788,3.3073,1.9668,2.1337,3.3603,2.3974,2.176,2.7598,2.8103,2.5624,3.197,3.5226,3.6355
,,,,,,,,,,,,,,,,
2015 Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing unit,,,,,,,,,,,,,,,,
value,28.9019,28.7196,27.8211,26.6419,29.8862,26.5807,25.9985,28.2193,26.9985,25.9311,25.212,28.4288,27.4994,27.6622,25.6693,31.3567
min,26.8,24.9,24.3,23.4,25.7,22.4,23.1,23.4,23.8,19.3,20.9,24.6,23.4,23.8,20.5,26.1
max,33.1,33.5,32.2,29.5,34.7,31,29,31.7,29.9,28.4,29.6,36,30.8,30.2,31.4,35.7
mean,28.9056,28.7308,27.7842,26.6381,29.8955,26.55,26,28.1864,26.9933,25.9364,25.1571,28.4696,27.5154,27.6308,25.6077,31.3529
std. dev.,1.7464,2.4109,2.2319,1.46,2.5453,2.5473,2.2531,1.905,1.6761,2.8342,2.7029,2.4857,1.8964,1.6913,2.7412,2.2201
,,,,,,,,,,,,,,,,
2015 Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing unit,,,,,,,,,,,,,,,,
value,15.0132,14.3659,14.088,14.4764,12.6394,12.0654,12.5256,13.9478,12.9957,10.711,11.587,13.718,14.0331,12.4295,11.7985,14.2703
min,13.4,10.5,9.9,12.2,9.8,8.7,11.1,11.1,11.7,9.9,9.4,10.2,11.7,10,7.9,10.8
max,17.1,17,16,16.1,14.4,14.1,13.7,17.2,15.2,11.7,13.9,16.3,15.9,15.1,13.4,16.9
mean,15.0222,14.3462,14.0684,14.4952,12.65,12.0714,12.5286,13.95,13.0133,10.7091,11.5929,13.7435,14.0231,12.4231,11.7846,14.2294
std. dev.,0.9078,1.864,1.619,0.7599,1.3161,1.3234,1.042,1.6136,1.1083,0.6123,1.1605,1.3524,1.5525,1.4019,1.7691,1.6586
,,,,,,,,,,,,,,,,
2015 Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing unit,,,,,,,,,,,,,,,,
value,7.9604,6.8964,6.7513,8.2457,5.4684,5.6644,6.61,7.1357,5.393,4.4774,5.5763,6.6244,7.5798,5.3615,5.0376,5.8085
min,6.7,4.7,5.8,6.6,3.3,4.5,5,5.3,3.5,3.4,4,4.3,6.3,4.3,2,3.7
max,9.6,8.8,8,10.2,7.6,7.1,9.1,9.3,7.7,5.6,7.6,9.6,9.1,6.1,6.7,8.2
mean,7.9556,6.8846,6.7526,8.2524,5.4773,5.6643,6.6,7.1409,5.3867,4.4727,5.5857,6.6348,7.5769,5.3538,5.0462,5.8118
std. dev.,0.8807,1.0738,0.5853,0.9141,1.1551,0.7531,1.3663,0.9565,0.9425,0.662,1.0567,0.9856,0.7928,0.5238,1.1377,1.3402
,,,,,,,,,,,,,,,,
2015 Estimate; YEAR HOUSEHOLDER MOVED INTO UNIT - Occupied housing unit,,,,,,,,,,,,,,,,
value,9.2795,7.8987,8.5738,11.769,5.7051,6.1562,7.5501,8.8908,4.7399,4.569,6.4101,7.2663,7.7351,5.3891,4.229,4.5338
min,7,5.8,6.7,9.1,2.9,4.3,6.2,6.6,3,2.7,3.2,3.5,5.3,2.1,1.5,1.2
max,11.8,10.9,12.7,17.4,8.6,9,9.4,12.4,6.8,6,8.9,10.9,12,7.5,6.2,8.5
mean,9.2556,7.8923,8.6,11.7619,5.6864,6.1571,7.5286,8.8455,4.7333,4.5727,6.4214,7.2913,7.7308,5.3692,4.2231,4.5294
std. dev.,1.4952,1.4597,1.3856,2.0853,1.5397,1.3449,1.4221,1.6681,1.3232,1.2009,1.6876,1.5312,1.8099,1.3931,1.4521,2.1817
,,,,,,,,,,,,,,,,
"2015 Estimate; VALUE - Owner-occupied units - Less than $50,000",,,,,,,,,,,,,,,,
value,2.9212,6.1057,7.8404,10.4038,4.2741,5.6094,8.0143,12.8322,4.7668,6.165,9.2809,10.1761,2.0138,5.4929,8.293,11.6583
min,1.6,2.7,4,5.8,2.2,2.5,4.2,7,2.6,3.3,4.8,4.3,0.8,3.2,3.7,5.8
max,4.5,13.9,12.2,22.2,6.5,11.5,16.4,20.6,10.1,9.9,14,20.5,3.2,7.8,13,27.7
mean,2.9444,6.1231,7.8211,10.3238,4.2773,5.6643,8,12.8455,4.78,6.1455,9.3,10.1,2.0231,5.4846,8.3308,11.7765
std. dev.,1.0365,3.0359,2.2042,4.5334,1.5115,2.3983,4.1617,4.087,1.885,2.2438,2.3462,3.8635,0.7049,1.4346,2.8811,6.3814
,,,,,,,,,,,,,,,,
"2015 Estimate; VALUE - Owner-occupied units - $500,000 to $999,999",,,,,,,,,,,,,,,,
value,8.8556,3.5718,2.28,1.8201,7.372,3.6195,3.393,2.6112,13.2744,5.8393,2.5878,2.7927,40.2758,7.4552,4.5847,4.6645
min,3.2,2,0.8,0.8,3.4,1.7,2.5,1.3,2.6,3,0.9,0.3,25.7,2.3,1.5,0.8
max,25.8,7,4.2,3.6,14.3,6.1,5.5,4.8,29.2,11.5,5.4,6,54.4,17.7,8.1,17.4
mean,8.8556,3.5769,2.2842,1.8286,7.4227,3.6143,3.3857,2.6045,13.2133,5.8455,2.5643,2.8348,40.2769,7.4769,4.5692,4.5941
std. dev.,5.4985,1.37,0.9257,0.6657,2.7098,1.2108,1.1305,0.9935,6.8996,2.8353,1.363,1.4748,9.2123,4.288,1.9315,4.2268
,,,,,,,,,,,,,,,,
"2015 Estimate; VALUE - Owner-occupied units - $50,000 to $99,999",,,,,,,,,,,,,,,,
value,5.3471,8.8438,19.581,25.9475,6.484,9.9008,17.5359,22.9738,3.1966,10.2285,23.5688,19.9913,1.9122,6.5941,15.6666,18.9867
min,1.3,3.1,10.1,18.7,1.2,4.2,10.2,16.2,0.5,5.4,13.5,5.8,0.6,2.4,7.7,3.8
max,10.2,15.9,30.1,37.6,18.1,16.4,24,31.6,9.5,17.3,32.7,29.1,4.3,13.1,30.5,35.7
mean,5.3778,8.8077,19.5263,25.8952,6.5636,9.9357,17.5714,22.9636,3.2067,10.2364,23.6143,19.7957,1.9231,6.6077,15.7,19.1412
std. dev.,2.81,3.9024,6.2875,5.0596,4.534,4.4304,4.8736,5.0237,2.6964,4.0763,5.5423,5.9984,0.9549,3.38,6.2955,8.7846
,,,,,,,,,,,,,,,,
"2015 Estimate; VALUE - Owner-occupied units - $300,000 to $499,999",,,,,,,,,,,,,,,,
value,24.4299,13.3434,8.0804,6.6845,21.6195,14.9959,9.7723,7.6892,31.775,15.2131,8.0261,9.5432,27.4546,22.8386,12.3982,11.6371
min,16.8,8.7,4,2.1,14.1,10.9,4.9,3.5,16.8,9.4,4.1,3.2,10.4,13.4,2.2,2.1
max,40.4,22.1,13.8,12,35.3,22.6,14.4,12.1,45.7,22.4,14.7,18.2,36.6,35.2,21.5,24.9
mean,24.4222,13.3692,8.1053,6.7238,21.5909,15,9.7714,7.6955,31.6667,15.2182,7.9714,9.6391,27.4462,22.8308,12.3385,11.5176
std. dev.,5.5614,3.6543,2.7024,2.5171,4.7869,3.6452,3.05,2.4418,7.0332,3.833,2.9377,3.3349,8.1956,7.0496,5.6608,6.4379
,,,,,,,,,,,,,,,,
"2015 Estimate; VALUE - Owner-occupied units - $200,000 to $299,999",,,,,,,,,,,,,,,,
value,29.7064,24.8341,17.3351,14.1602,28.076,25.2734,19.5823,14.5611,28.8426,23.6234,15.3512,16.6561,8.7821,27.6852,20.0819,17.2144
min,18.7,18.7,10.4,6.3,15.7,19.4,15.9,9,17.1,18,8.9,10.6,1.8,22.2,7,5.8
max,39.4,34.5,22,19,36.3,31.1,24.8,18.5,45.3,28.3,20.1,25.5,18.8,32.9,28.1,24.8
mean,29.65,24.9538,17.3474,14.1905,27.9409,25.3,19.5429,14.5773,28.9133,23.5818,15.3143,16.8043,8.7154,27.7231,20.0538,17.1176
std. dev.,4.8866,5.144,3.3784,3.3318,6.0949,4.253,3.0457,2.8839,6.9757,3.6083,2.9827,4.4048,5.6263,2.9158,5.1185,5.7789
,,,,,,,,,,,,,,,,
"2015 Estimate; VALUE - Owner-occupied units - $150,000 to $199,999",,,,,,,,,,,,,,,,
value,16.9311,22.8473,20.1373,17.3317,17.5552,21.7779,19.1073,17.4064,10.5842,19.5256,17.3284,19.2658,2.6287,17.2744,18.8611,16.4855
min,4.5,19.8,16.3,11.8,7.9,18,15.6,10.8,5.2,17,12,15.9,0.9,9.7,15.4,9.9
max,23.4,26.4,28.6,20.1,23.3,27,22.8,25,16.4,26.5,21.5,26,6.8,23.1,25,19.7
mean,16.9111,22.8154,20.1526,17.3476,17.5182,21.7357,19.0857,17.3818,10.6333,19.5,17.3286,19.313,2.6077,17.2538,18.8462,16.4824
std. dev.,4.5195,2.2766,3.3919,2.1323,3.1697,2.6319,2.7316,3.3131,3.4944,2.8914,2.5369,2.3601,1.9822,4.6178,2.6085,2.8964
,,,,,,,,,,,,,,,,
"2015 Estimate; VALUE - Owner-occupied units - $100,000 to $149,999",,,,,,,,,,,,,,,,
value,10.1682,19.7217,24.2509,23.2349,13.2513,18.1737,21.8874,21.3114,5.0754,18.227,23.1287,21.0324,1.9181,11.3931,18.9563,18.1964
min,1.9,10.4,14.4,16.7,5.9,8.5,13.6,15.3,1.7,10.9,19.1,15.1,0.9,5.4,12.4,5.5
max,16.5,28.4,29.7,29.2,22.7,27.6,27.8,25.2,11.7,24.1,31.5,28.6,3.5,21.9,31.8,29.6
mean,10.1944,19.6231,24.2684,23.2762,13.3,18.1071,21.9429,21.3182,5.1,18.2909,23.1857,20.9609,1.9154,11.3538,19.0077,18.2294
std. dev.,3.7821,5.2751,3.574,3.2718,5.1811,5.6227,5.0751,3.0189,2.7823,4.5903,3.0313,3.1563,0.8494,4.7316,5.5005,5.1837
,,,,,,,,,,,,,,,,
"2015 Estimate; VALUE - Owner-occupied units - $1,000,000 or more",,,,,,,,,,,,,,,,
value,1.6244,0.7392,0.5104,0.3969,1.3582,0.6549,0.6935,0.6138,2.4533,1.1514,0.7206,0.5638,14.9529,1.2425,1.0965,1.1691
min,0.2,0.4,0.2,0.2,0.4,0.1,0,0.1,0.4,0,0.1,0,6,0.2,0.2,0
max,5.8,1.5,1.1,0.7,3.4,1.3,1.6,1.3,7.8,2.3,1.5,1.6,34.6,2.4,2.4,4.3
mean,1.6278,0.7385,0.5105,0.3952,1.3773,0.65,0.6857,0.6136,2.4533,1.1545,0.7143,0.5739,15.0308,1.2462,1.0923,1.1529
std. dev.,1.3127,0.3664,0.2536,0.1802,0.7746,0.3082,0.6012,0.3137,1.8864,0.7942,0.4092,0.372,8.1224,0.6753,0.65,1.1097
,,,,,,,,,,,,,,,,
2015 Estimate; UNITS IN STRUCTURE - Total housing units - Mobile home,,,,,,,,,,,,,,,,
value,1.9539,5.9238,5.0065,3.6198,6.1625,5.1529,6.2376,11.0695,4.3557,5.2853,6.6264,12.6884,2.9876,7.2235,10.6342,14.5413
min,0.4,1.5,1.9,1,1.8,1.3,2.7,5.4,1.8,2.1,5.3,3.6,0.2,3.1,2.7,7.4
max,6,15.1,11.5,8,12.6,11.8,12.9,18.4,9.2,8.3,9.5,26.8,7.4,12.6,21.5,30.8
mean,1.9778,5.9692,4.9947,3.5857,6.2136,5.1857,6.1857,11.0364,4.3667,5.2818,6.6286,12.6783,3.0077,7.2462,10.6538,14.4824
std. dev.,1.7176,4.1979,2.5455,1.7057,3.0995,3.4058,4.4062,3.1312,2.0684,1.8427,1.2313,5.4494,2.4278,2.8597,4.2809,6.8379
,,,,,,,,,,,,,,,,
"2015 Estimate; UNITS IN STRUCTURE - Total housing units - Boat, RV, van",,,,,,,,,,,,,,,,
value,0.0221,0.0385,0.016,0.005,0.0815,0.0789,0.0143,0.0861,0.1678,0.0934,0.0997,0.1002,0.0925,0.2216,0.159,0.2599
min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max,0.1,0.2,0.1,0.1,0.5,0.3,0.1,0.4,0.9,0.5,0.4,0.6,0.2,0.6,0.8,1.9
mean,0.0222,0.0385,0.0158,0.0048,0.0818,0.0786,0.0143,0.0864,0.1667,0.0909,0.1,0.1,0.0923,0.2231,0.1615,0.2529
std. dev.,0.0428,0.065,0.0375,0.0218,0.1181,0.1051,0.0378,0.0941,0.2225,0.1514,0.1177,0.1348,0.0641,0.1641,0.2501,0.4432
,,,,,,,,,,,,,,,,
2015 Estimate; UNITS IN STRUCTURE - Total housing units - 5 to 9 units,,,,,,,,,,,,,,,,
value,5.5225,4.1887,4.3086,4.2776,4.1098,5.0277,5.7198,4.4526,6.0484,5.8049,5.5501,4.3036,5.5563,4.6402,5.5327,3.7503
min,3.6,2.3,2.4,1.9,2,2.6,3.8,2.6,3.3,3.4,4,1.3,4.3,2.7,3.1,2.2
max,7.7,6.5,7.6,6,7.8,8.3,8,6.9,10.8,8.5,9.3,7.6,7.8,7.7,11.3,5.6
mean,5.5222,4.2,4.3421,4.281,4.0955,5.0357,5.7286,4.4545,6.0733,5.8273,5.5643,4.287,5.5769,4.6385,5.5385,3.7353
std. dev.,1.1048,1.1008,1.4638,1.023,1.4522,1.5098,1.683,1.3606,2.0776,1.4072,1.5707,1.5827,1.2173,1.5538,2.5627,0.9624
,,,,,,,,,,,,,,,,
2015 Estimate; UNITS IN STRUCTURE - Total housing units - 3 or 4 units,,,,,,,,,,,,,,,,
value,7.2128,3.2515,4.5656,4.5137,3.2668,4.172,5.352,3.3457,5.0917,3.9536,4.7489,3.9619,5.4745,5.6532,4.9745,3.914
min,3,1.4,2.5,2.5,1.5,2.2,3.4,1.9,2.8,2.5,2.5,2,2.5,3.7,2,1.9
max,13.9,6.5,8,7,5.3,6.7,7.4,6.1,8.9,6.6,8.7,6.5,8.7,9.1,10.1,5.4
mean,7.1722,3.2769,4.5684,4.5143,3.2545,4.1929,5.3286,3.3364,5.0933,3.9545,4.7714,3.9783,5.4923,5.6692,5.0154,3.9118
std. dev.,2.9521,1.5145,1.3853,1.4894,1.0056,1.4526,1.3338,1.1176,1.7625,1.1725,1.6629,1.1402,1.9011,1.4829,2.5877,1.1543
,,,,,,,,,,,,,,,,
2015 Estimate; UNITS IN STRUCTURE - Total housing units - 20 or more un,,,,,,,,,,,,,,,,
value,8.2818,6.6263,4.9858,5.4263,5.1874,10.0273,6.8286,3.4258,9.8734,8.9105,4.838,3.5487,13.2999,4.271,8.3401,6.8716
min,4.5,2.6,3.3,3.1,1.5,2.6,4.2,1.4,4.5,5.5,2.9,1.3,5.2,2,2.2,1.3
max,12.9,16.3,6.8,9.8,9.7,25.7,11.8,5.7,26.4,13.2,8,6.7,26.9,8.5,14.6,16.4
mean,8.2944,6.5692,5,5.4381,5.1955,10.0143,6.8571,3.4182,9.8533,8.9455,4.8143,3.5478,13.3385,4.2769,8.3462,6.9235
std. dev.,2.5885,3.8986,1.0203,1.5964,2.1676,5.9724,2.6146,1.1181,5.5648,2.6923,1.5109,1.5492,7.1414,1.6634,3.3266,4.2158
,,,,,,,,,,,,,,,,
2015 Estimate; UNITS IN STRUCTURE - Total housing units - 2 units,,,,,,,,,,,,,,,,
value,8.0264,2.354,3.6326,5.282,2.2323,2.6317,4.1737,3.0631,2.9059,3.0172,3.1458,2.3883,3.5498,2.8727,2.6218,2.4294
min,2.3,1.1,1.2,1.8,0.2,0.5,1.9,1.3,1.1,1.2,1.6,0.9,1,1.6,1,1.5
max,13.2,6,7.2,16.9,4.6,4.3,9.3,8.3,6,6.2,5.8,4,11.1,4.3,5.2,4
mean,8.0111,2.3692,3.6158,5.3476,2.2136,2.6143,4.1429,3.0909,2.9267,3.0273,3.1714,2.3826,3.5769,2.8846,2.6462,2.4412
std. dev.,3.0862,1.3984,1.7812,3.4431,1.0557,0.9371,2.64,1.4816,1.3604,1.6793,1.173,0.8105,3.1225,0.8474,1.2163,0.8537
,,,,,,,,,,,,,,,,
2015 Estimate; UNITS IN STRUCTURE - Total housing units - 10 to 19 unit,,,,,,,,,,,,,,,,
value,4.2571,3.1921,4.2388,3.2501,4.552,6.0329,5.1059,3.434,5.3406,9.1315,5.0124,3.2273,5.2132,2.4364,5.4136,3.479
min,1.6,1.2,2,1.1,2.1,4.1,1.8,1.7,3.1,5.2,2.3,0.9,1.6,1.3,2.1,0.7
max,8.2,6.5,7.8,5,6.9,9.5,9.5,5.6,8.7,12.7,6.8,6.2,10,4.2,8.5,5.7
mean,4.2667,3.1769,4.2842,3.2476,4.5455,6.0286,5.1429,3.4364,5.3533,9.1182,5.0071,3.1957,5.2,2.4385,5.4077,3.4765
std. dev.,1.6737,1.494,1.779,1.1241,1.5895,1.662,2.3501,1.0395,1.5588,2.1118,1.3759,1.406,2.3191,1.0063,2.0324,1.5975
,,,,,,,,,,,,,,,,
"2015 Estimate; UNITS IN STRUCTURE - Total housing units - 1-unit, detac",,,,,,,,,,,,,,,,
value,54.9353,64.914,69.7973,69.4859,68.0761,60.8486,61.7838,68.9929,60.1621,57.9182,67.349,67.2579,54.1618,69.1854,56.7526,60.8014
min,44.5,54,63.9,59.8,59.9,46.3,55.6,63.1,41.5,51.2,63.5,56.9,36.4,60.5,49.4,51.5
max,66.7,73.5,75,77.9,76.2,66.2,69.5,73.7,70.1,64.5,72.2,83.8,66.8,76.2,63.2,66.9
mean,54.9,64.8692,69.7316,69.4476,68.1273,60.8143,61.8286,69,60.08,57.9091,67.3214,67.2739,54.1231,69.1385,56.6923,60.8647
std. dev.,5.9043,5.8171,3.3665,4.9788,4.7189,5.3238,5.5286,2.8252,6.7143,4.547,2.5574,4.9742,9.2867,5.3436,4.0446,4.8948
,,,,,,,,,,,,,,,,
"2015 Estimate; UNITS IN STRUCTURE - Total housing units - 1-unit, attac",,,,,,,,,,,,,,,,
value,9.7719,9.4955,3.4471,4.1254,6.301,6.0053,4.6994,2.1111,6.0746,5.8592,2.6721,2.5202,9.6795,3.5255,5.5486,3.9475
min,3.5,3.5,1.4,1.5,3.2,2.6,2.9,0.6,2.4,3,1.6,1.1,6.5,1.2,1.6,1.2
max,29.8,21.3,5.7,11.5,11.6,13,8.1,4,9.6,10.2,4.5,4.8,19.3,5.5,8.6,9
mean,9.8167,9.5154,3.4474,4.119,6.2409,6.0143,4.6857,2.1227,6.1067,5.8182,2.6643,2.5522,9.6077,3.5154,5.5154,3.9059
std. dev.,8.7585,6.065,0.9686,2.4225,2.3547,2.5726,1.8142,0.8901,2.2037,2.4903,1.0058,1.1712,3.3959,1.2851,2.0326,2.2072
,,,,,,,,,,,,,,,,
2015 Estimate; ROOMS - Total housing units - Median rooms,,,,,,,,,,,,,,,,
value,5.6631,6.0415,5.7442,5.798,6.0341,5.6855,5.4996,5.479,5.3929,5.41,5.3944,5.5775,5.1784,5.2867,5.2534,5.1144
min,5.3,5.4,5.4,5.4,5.7,5.4,5.3,5.2,4.7,5.2,4.9,5.3,4.6,5.1,5,4.7
max,6.2,6.6,6,6,6.8,6,5.7,5.8,5.9,5.6,5.7,6,6.1,5.5,5.6,5.6
mean,5.6667,6.0385,5.7474,5.8,6.0318,5.6857,5.5,5.4773,5.3933,5.4091,5.3929,5.5783,5.1692,5.2846,5.2538,5.1176
std. dev.,0.2722,0.328,0.1926,0.1789,0.3123,0.1916,0.1291,0.1926,0.3432,0.13,0.194,0.1976,0.4516,0.1214,0.2025,0.2834
,,,,,,,,,,,,,,,,
2015 Estimate; ROOMS - Total housing units - 9 rooms or more,,,,,,,,,,,,,,,,
value,11.9748,17.5629,14.0302,12.0251,17.281,16.2469,11.4454,8.9951,11.9561,12.68,7.3244,9.1324,9.3659,6.0607,7.7005,5.1319
min,8,13.6,9.5,7.1,9.6,13.2,9,5.9,4.7,7.9,4.2,5.3,4.9,3.4,5.8,2
max,18.4,26.1,23.6,14.7,31.7,20.7,14.6,13.2,19.4,15.9,10.1,12.7,23.2,9.9,10.7,11.4
mean,12.0389,17.5308,14.0684,12.0238,17.2227,16.25,11.4571,9.0045,12.02,12.6909,7.3071,9.1522,9.2692,6.0538,7.7154,5.1118
std. dev.,2.7658,3.9525,2.9961,1.7941,5.1728,2.5687,1.7067,2.3607,4.6163,2.4242,2.0934,2.085,5.5581,1.9961,1.4005,2.1702
,,,,,,,,,,,,,,,,
2015 Estimate; ROOMS - Total housing units - 8 rooms,,,,,,,,,,,,,,,,
value,9.5243,11.2448,9.9862,9.9627,10.7544,9.7319,8.592,7.8732,8.8009,8.468,7.4531,8.4095,7.5128,7.3769,6.9245,5.4912
min,7.8,8.8,8.2,7.6,8.4,7.4,7.5,5,5.2,6.8,4.2,6.1,5.5,6,4.9,3.3
max,11.8,13.4,13,12,14.1,12.2,9.5,9.9,10.5,10.5,10.2,12.5,10.7,10.4,9.7,8.4
mean,9.5444,11.2231,10.0211,9.9619,10.7364,9.7286,8.5857,7.8682,8.8133,8.4818,7.4357,8.4391,7.4769,7.3462,6.9231,5.5
std. dev.,1.3196,1.3186,1.3007,1.18,1.4407,1.2118,0.769,1.2061,1.4101,1.0769,1.3471,1.3637,1.7307,1.2666,1.263,1.6352
,,,,,,,,,,,,,,,,
2015 Estimate; ROOMS - Total housing units - 7 rooms,,,,,,,,,,,,,,,,
value,12.9693,13.6312,12.4383,13.8353,13.279,11.7864,12.7271,12.4903,11.4235,11.5482,12.2123,13.3889,10.6026,11.2873,11.5432,10.0336
min,10.7,10.5,9,10.9,10.5,8.6,12.3,10.6,8.3,9.4,9.4,9.5,8.4,9.3,9.8,7
max,14.9,17.1,15.2,16.3,15.6,13.5,13.3,15.1,14.5,12.6,14,17.5,13.8,13.1,14.2,13.7
mean,12.9722,13.6385,12.4368,13.8667,13.3,11.7929,12.7286,12.5,11.3867,11.5273,12.2143,13.387,10.5846,11.2692,11.5308,10.0471
std. dev.,1.3105,1.7168,1.4618,1.3672,1.2313,1.3573,0.345,1.2843,1.5329,0.873,1.3043,1.84,1.4416,1.0435,1.4256,2.0812
,,,,,,,,,,,,,,,,
2015 Estimate; ROOMS - Total housing units - 6 rooms,,,,,,,,,,,,,,,,
value,18.5045,16.2389,17.8434,20.4517,17.255,15.1502,16.8793,19.697,15.6286,15.5713,20.4698,20.4424,15.9604,19.6748,18.0958,18.9555
min,15.8,11.2,13.1,17.4,12,11.4,15.2,14.4,11.8,12.1,16.8,15.6,13,18.1,15.9,14.6
max,21.7,21.7,21.5,25.8,21.6,19.5,18.5,23.6,20.3,18.2,23.5,26.8,19.2,22.8,20.2,26.1
mean,18.4944,16.2231,17.8158,20.4667,17.3227,15.1571,16.8857,19.6636,15.5867,15.5545,20.4571,20.413,15.9615,19.6692,18.1,19.0235
std. dev.,1.2407,2.9023,1.8313,2.2721,2.3053,2.3741,1.4369,2.0761,2.6235,1.6495,1.7977,2.1974,1.9522,1.2605,1.1597,2.7788
,,,,,,,,,,,,,,,,
2015 Estimate; ROOMS - Total housing units - 5 rooms,,,,,,,,,,,,,,,,
value,18.2712,16.1402,19.1145,19.4138,18.2163,17.3938,19.7463,24.2651,17.4678,18.3268,22.9925,23.2912,18.2911,25.1603,22.5061,26.6371
min,13.2,12.1,12.7,16.3,12.2,15,16.2,18,12.4,16.4,19.4,19.4,12.1,20,17.9,20.7
max,22.9,20.5,23,28.3,22.3,22.4,22.3,29.7,21.3,20.4,25.8,26.9,22.4,29,27.6,36.9
mean,18.2278,16.1923,19.0789,19.4095,18.2364,17.3929,19.7571,24.2182,17.42,18.3091,23,23.2652,18.3154,25.1769,22.5154,26.6412
std. dev.,2.8176,2.3918,2.4753,2.6289,2.8194,2.0537,2.0419,3.0417,2.7613,1.2486,1.9151,2.2829,2.6567,3.1541,2.7132,3.7543
,,,,,,,,,,,,,,,,
2015 Estimate; ROOMS - Total housing units - 4 rooms,,,,,,,,,,,,,,,,
value,15.5003,13.7705,15.6388,14.021,14.0639,15.8247,14.574,16.9727,17.6297,16.3972,17.1025,15.8299,18.7394,18.9061,19.6912,21.2961
min,12.1,8.4,12.4,12.5,9.5,12.2,10.6,13.4,15.6,14.3,14.4,12.5,13.2,16,16.2,15.1
max,18.1,21,21.7,17.5,16.2,19.3,16.8,21.3,26.3,19.6,21.5,21,21.2,21.1,22.1,28.4
mean,15.4778,13.7692,15.6211,13.9905,14.0364,15.8429,14.5429,17.0091,17.64,16.4091,17.1429,15.787,18.8,18.9154,19.7077,21.2941
std. dev.,1.7848,3.3829,2.3482,1.3274,1.6279,1.9489,2.2795,1.882,2.7195,1.6447,2.0041,2.2229,2.6502,1.5641,1.8599,3.4517
,,,,,,,,,,,,,,,,
2015 Estimate; ROOMS - Total housing units - 3 rooms,,,,,,,,,,,,,,,,
value,8.7174,7.451,7.3309,7.0439,6.0628,9.162,8.1257,6.7309,9.9671,11.0041,8.3671,6.3748,11.4656,7.4268,8.9213,8.8015
min,6.8,3.9,5.1,4.7,3.2,6.7,4.8,4.7,7.1,7.6,5.7,3,7.9,5.2,3.9,5.1
max,11.3,11,10.4,9.9,9,13.2,11.4,8.8,14.8,14.6,11.1,8.9,16.6,10.8,11.9,18.9
mean,8.7167,7.4538,7.3316,7.0333,6.0636,9.1429,8.1,6.7455,9.9733,11.0182,8.3714,6.4,11.5154,7.4462,8.9077,8.7588
std. dev.,1.0422,1.9696,1.438,1.0974,1.3927,1.7935,2.2226,1.2727,2.0387,1.8729,1.5454,1.7997,2.6804,1.5788,2.6785,3.5269
,,,,,,,,,,,,,,,,
2015 Estimate; ROOMS - Total housing units - 2 rooms,,,,,,,,,,,,,,,,
value,2.4103,2.3091,1.8224,1.6804,1.7636,2.6946,1.9187,1.5186,4.0769,3.5343,2.0539,1.3707,4.2832,2.1066,2.6993,2.0215
min,1.3,1,1.1,0.6,0.5,2,1,0.7,1.9,1.7,1.3,0.5,2,1.4,1,1.1
max,4,3.5,3.3,3.7,4.1,3.8,2.8,3.2,7.3,6,3.1,2.6,8.3,4,4.4,4.7
mean,2.4056,2.3154,1.8368,1.6762,1.7591,2.6857,1.9143,1.5182,4.1,3.5364,2.05,1.387,4.2846,2.1154,2.6846,2.0059
std. dev.,0.8185,0.8355,0.5983,0.7113,0.9445,0.6573,0.5757,0.7008,1.4604,1.4334,0.6382,0.5595,1.6497,0.6998,1.1283,1.1076
,,,,,,,,,,,,,,,,
2015 Estimate; ROOMS - Total housing units - 1 room,,,,,,,,,,,,,,,,
value,2.078,1.629,1.7732,1.5812,1.3832,2.0223,5.9481,1.4708,3.0901,2.4615,1.9952,1.748,3.7555,2.0225,1.9105,1.6379
min,1,1,0.8,0.6,0.4,1,1.3,0.7,1.6,1.8,0.8,0.5,2,0.9,0.6,0.2
max,3.1,2.4,3.4,3.3,2.3,4.1,16.4,2.9,6.2,3.1,3.4,5.7,6.9,3.3,3.3,3.2
mean,2.0722,1.6308,1.7684,1.5857,1.3818,2.0214,5.9857,1.4864,3.1,2.4636,1.9929,1.7565,3.7692,2.0308,1.9077,1.6235
std. dev.,0.5919,0.4423,0.5774,0.7157,0.5068,0.8755,6.8048,0.5401,1.0941,0.5045,0.8444,1.1743,1.6121,0.7099,0.8693,0.8906
,,,,,,,,,,,,,,,,
2015 Estimate; OCCUPANTS PER ROOM - Occupied housing units - 1.51 or mo,,,,,,,,,,,,,,,,
value,0.557,0.5608,0.5834,0.3856,0.6376,0.6914,1.6852,0.5985,0.9824,1.0123,0.8509,0.7322,2.5266,1.4877,0.6953,1.193
min,0.3,0.1,0.2,0,0.2,0.1,0.2,0.1,0.1,0.5,0.1,0.3,0.7,0.6,0.2,0
